OrderLineID,TransactionID,ProductID,Quantity,UnitPrice,Discount,LineTotal
"","#N/A","C303","3","60","0","180"
"OL-52","TRN-9020","P202","2","65","0.15","110.5"
"OL-53","TRN-9020","P102","2","80","0.15","136"
"OL-54","TRN-9021","C301","3","55","0","165"
"OL-55","TRN-9021","C302","3","50","0","150"
"OL-56","TRN-9021","P103","2","95","","190"
"OL-57","TRN-9022"," P203 ","3","68","0","204"
"OL-58"," TRN-9022 ","C301","3","55","0","165"
"OL-59","TRN-9022","P201","3","70","0","210"
"OL-60","TRN-9022","P101","3","85","0","255"
"OL-61","TRN-9023","C301","2","55","0","110"
"OL-62","TRN-9023","C303","2","60","0","120"
"OL-63","TRN-9024","P102","2","80","0","160"
"OL-64","TRN-9024","C303","1","60","0","60"
"","TRN-9024","P201","3","70","0","210"
"OL-66","TRN-9025"," P201 ","3","70","0.15","178.5"
"OL-67","TRN-9025","P202","1","65","0.15","55.25"
"OL-68","TRN-9025","P103","3","95","0.15","242.25"
"OL-69","TRN-9026","C304","2","58","0.05","110.2"
"OL-70","TRN-9026","P103","3","95","0.05","270.75"
"OL-71","TRN-9026","C304","2","58","0.05","110.2"
"OL-72","TRN-9027","P202","3","65","0",""
"OL-72","TRN-9027","P202","3","65","0","195"
"OL-74","TRN-9027","P202","3","65","0","195"
"OL-75","TRN-9027","","2","55","0","110"
"OL-76","TRN-9028","P203","3","68","0.05","193.8"
"OL-77","TRN-9029","C301","2","55","0.05","104.5"
"OL-78"," TRN-9029 ","C303","3","60","0.05","171"
"OL-79","TRN-9029","C302","2","50","0.05",""
"OL-80","TRN-9029","C301","2","55","0.05","104.5"
"OL-81","TRN-9030"," P203 ","1","68","0","68"
"OL-82","TRN-9030","C302","2","50","0","100"
"OL-83","TRN-9030","P101","3","85","0","255"
" OL-84 ","TRN-9030","P101","3","85","0","255"
"OL-85","","P201","3","70","0","210"
"OL-86","TRN-9031","P102","2","80","0","160"
"OL-87"," TRN-9031 ","C303","1","60","0","60"
"OL-88","TRN-9032","P103","3","95","0.15","242.25"
"#N/A","TRN-9032","P202","2","65","0.15",""
"OL-90","TRN-9032","P202","3","65","0.15","165.75"
"OL-91","TRN-9033","C303","2","60","0.05","114"
"OL-92","TRN-9033","P202","2","65","0.05","123.5"
"","TRN-9033","P102","1","80","0.05","76"
"","TRN-9033","C302","2","50","0.05","95"
"OL-95","TRN-9034","C301","1","55","0.15","46.75"
"OL-96","TRN-9034","P101","1","85","0.15","72.25"
"OL-97","TRN-9035","P203","1","68","0","68"
"OL-98","TRN-9035","","2","50","0","100"
"OL-99","TRN-9035","P202","3","65","0","195"
"OL-100","TRN-9036","P202","3","65","0","195"
"OL-101","TRN-9037","C301","3","55","0.05","156.75"
"OL-102","TRN-9037","C303","1","60","0.05","57"
"OL-103","TRN-9037","P201","2","70","0.05","133"
"OL-104","TRN-9037","P102","1","80","0.05","76"
"OL-105","TRN-9038","C301","1","55","0","55"
"OL-106","TRN-9038","P203","3","68","0","204"
"OL-107","TRN-9038","P103","1","95","0","95"
"OL-108","TRN-9038","P102","1","80","0","80"
"","TRN-9039","P102","1","80","0.05","76"
"OL-110","TRN-9039","C301","3","55","0.05","156.75"
"OL-111","TRN-9039","","2","50","0.05","95"
"OL-112","TRN-9039","P203","3","68","0.05","193.8"
"OL-113","TRN-9040","P202","3","65","0.15","165.75"
"OL-114","TRN-9040","P201","2","70","0.15","119"
" OL-115 "," TRN-9041 ","C301","2","55","0","110"
"OL-116","TRN-9041","P202","3","65","0","195"
"OL-117","TRN-9041","P201","2","70","0","140"
"OL-118","TRN-9041","C304","2","58","0","116"
"OL-119","TRN-9042","P203","3","68","0","204"
"OL-120","TRN-9043","P201","1","70","0","70"
"OL-121","TRN-9043","C301","1","55","0","55"
"OL-122","TRN-9043","C302","1","50","0","50"
"OL-123","TRN-9043"," P102 ","1","80","0","80"
"OL-124","TRN-9044","P201","2","70","0.15","119"
"OL-125","TRN-9044","P201","2","70","0.15","119"
"OL-126","TRN-9044"," P101 ","3","85","0.15","216.75"
"OL-127","TRN-9044","","2","65","0.15","110.5"
"OL-128","TRN-9045","P203","3","68","0","204"
"OL-129","TRN-9046","C303","3","60","0","180"
"OL-130","TRN-9046","C302","1","50","0","50"
"OL-131","TRN-9047","P101","2","85","0","170"
"OL-132","#N/A"," P103 ","3","95","0","285"
"OL-133","TRN-9048","P102","2","80","0","160"
"OL-134","TRN-9048","P201","1","70","0","70"
"OL-135","TRN-9049","C301","3","55","0.1","148.5"
"OL-136",""," P101 ","2","85","0.1","153"
" OL-137 ","TRN-9049","P101","1","85","0.1","76.5"
" OL-138 ","TRN-9050","P101","2","85","0","170"
"OL-139","TRN-9050","P101","3","85","0","255"
" OL-140 ","TRN-9050","P102","3","80","0","240"
" OL-141 ","TRN-9051","P201","3","70","0","210"
"OL-142","TRN-9051","P202","3","65","0",""
"OL-143","TRN-9052","C303","3","60","0.05","171"
"OL-144","TRN-9052","P202","3","65","0.05","185.25"
"OL-145","TRN-9053","C303","2","60","0","120"
"OL-146","#N/A","C301","3","","0","165"
"OL-147","TRN-9053","P101","2","85","","170"
"OL-148","TRN-9054","P203","3","68","0.05","193.8"
"OL-149","TRN-9054","C301","2","55","0.05","104.5"
"OL-150","TRN-9054","P203","2","68","0.05","129.2"
"OL-150","TRN-9054","P203","2","68","0.05","129.2"
"OL-152","TRN-9055","C302","2","50","0","100"
"OL-153","TRN-9056","C303","1","60","0","60"
"OL-154","TRN-9057","C303","3","60","0","180"
"OL-155","TRN-9057","P202","3","65","0","195"
"OL-156","TRN-9057","C302","2","50","0","100"
"OL-157","TRN-9058","C302","1","50","0.05","47.5"
"OL-158","TRN-9058","C302","2","50","0.05","95"
"OL-159","","P203","1","68","0.05","64.6"
"OL-160","TRN-9058","C304","2","58","0.05","110.2"
"OL-161","TRN-9059","P103","3","95","0","285"
"OL-162","TRN-9059","C304","1","58","0","58"
"OL-163"," TRN-9059 ","P102","3","80","","240"
"OL-164","TRN-9060","P101","2","85","0.15","144.5"
"OL-165","","P203","1","68","0.05","64.6"
"OL-166","TRN-9061","C304","1","58","0.05","55.1"
"OL-167","TRN-9061","P102","1","80","0.05","76"
"OL-168"," TRN-9061 ","P202","2","65","0.05","123.5"
"OL-169","TRN-9062","C303","1","60","0","60"
"OL-170","TRN-9062"," P103 ","1","95","0","95"
"OL-171","TRN-9062"," P102 ","2","80","0","160"
"OL-172","TRN-9062","C302","1","50","0","50"
"OL-173","TRN-9063"," P201 ","3","70","0","210"
"OL-174","TRN-9063","C303","1","60","0","60"
"OL-175","TRN-9063","C302","3","50","0","150"
"OL-176","TRN-9063","P102","1","","0","80"
"OL-176","TRN-9063","P102","1","80","0","80"
"OL-178"," TRN-9064 ","P103","2","95","0.05","180.5"
"OL-179","TRN-9064","","3","50","0.05","142.5"
"OL-180","TRN-9065","P102","2","80","0","160"
"OL-181","","P201","3","70","0","210"
"OL-182","TRN-9066","P103","1","95","0.15","80.75"
"OL-183","TRN-9066","C301","2","55","0.15","93.5"
"OL-184","TRN-9067","C303","2","60","0.15","102"
"OL-185","TRN-9067","P102","2","80","0.15","136"
"OL-186","TRN-9067","P101","3","85","0.15","216.75"
"OL-187","TRN-9067","C304","1","58","0.15","49.3"
"OL-188","TRN-9068","P203","2","68","0","136"
"OL-189","TRN-9068","","3","68","0","204"
" OL-190 ","TRN-9068","P101","3","85","0","255"
"OL-191","TRN-9069","P102","3","80","0","240"
"OL-192","TRN-9070","P103","3","95","0","285"
"OL-193","TRN-9071","P102","1","80","0","80"
"OL-194","TRN-9071","P103","3","95","0","285"
"OL-195","TRN-9071","P101","3","85","0","255"
"OL-196","TRN-9071","C303","1","60","0","60"
"OL-197","TRN-9072","C303","1","60","0","60"
"OL-198","TRN-9072","C302","1","50","0","50"
"OL-199","TRN-9073","P202","1","65","0","65"
"OL-199","TRN-9073","P202","1","65","0","65"
"OL-201","TRN-9073","P202","1","65","0","65"
"","TRN-9074","C303","1","60","0","60"
"OL-203","TRN-9075","#N/A","1","70","","70"
"OL-204","TRN-9075","","1","95","0","95"
"OL-205","TRN-9075","P102","3","80","0","240"
"OL-206","TRN-9075","P203","3","68","0","204"
"OL-207","TRN-9076","C301","2","55","0.1","99"
"OL-208","","C304","2","58","0.1","104.4"
"OL-209"," TRN-9077 "," P103 ","1","95","0","95"
"OL-210","TRN-9077","P102","3","80","0","240"
"OL-211"," TRN-9078 ","C302","3","","0","150"
"OL-212","TRN-9078","C301","2","55","0","110"
"#N/A","TRN-9078","C303","2","60","0","120"
"OL-214","TRN-9078","C301","1","55","","55"
"OL-215","TRN-9079","P202","2","65","0","130"
"","TRN-9079","P101","1","85","0",""
"OL-217","TRN-9079","P202","1","65","0","65"
"OL-218","TRN-9079","","1","65","0","65"
"OL-219","TRN-9080","C303","","60","0","120"
"OL-220","TRN-9080","P203","3","68","0","204"
"OL-221","TRN-9080","P202","3","65","0","195"
" OL-222 ","TRN-9081","P101","1","85","0","85"
"OL-223","TRN-9082"," C304 ","2","58","0.15","98.6"
"OL-224","#N/A","P203","2","68","0.15","115.6"
"OL-225","TRN-9083","C301","3","55","0","165"
"OL-226","TRN-9083","C304","1","58","0","58"
"OL-227"," TRN-9083 ","C301","3","55","0","165"
"OL-228","TRN-9083","P202","2","65","0","130"
"OL-229","TRN-9084","C304","1","58","0","58"
"OL-230","TRN-9084","P203","1","68","0","68"
"","TRN-9084","P101","1","85","0","85"
"OL-232","TRN-9085","C304","3","58","0.05","165.3"
"OL-233","TRN-9085","P103","2","95","0.05","180.5"
"OL-234","TRN-9086","C303","3","","0.1","162"
"OL-235","TRN-9086","P102","","80","0.1","72"
"OL-236","TRN-9086","C304","1","58","0.1","52.2"
"OL-237","TRN-9086","#N/A","1","65","0.1","58.5"
"OL-238","TRN-9087","C303","2","60","0","120"
"OL-238","TRN-9087","C303","2","60","0","120"
"OL-240"," TRN-9088 ","P103","1","95","0.05","90.25"
" OL-241 ","TRN-9088","C302","2","50","0.05","95"
"OL-242","TRN-9089","C304","2","58","0","116"
"OL-243","TRN-9089","P102","3","80","0","240"
"OL-244","TRN-9090","P201","1","70","0","70"
"OL-245","TRN-9091","P101","1","85","0.1","76.5"
"OL-246","TRN-9091","P101","1","85","0.1","76.5"
"OL-247","TRN-9091","C304","2","58","0.1","104.4"
"OL-248","TRN-9092","P103","1","95","0.1","85.5"
"OL-249","TRN-9092","C302","1","50","0.1","45"
"OL-249","TRN-9092","C302","1","50","0.1","45"
"OL-251","TRN-9093","C302","2","50","0","100"
" OL-252 ","TRN-9093"," P201 ","2","70","0","140"
"OL-253","TRN-9093","C301","2","55","0","110"
"OL-254","TRN-9093","C304","1","58","0","58"
"OL-255","#N/A","","3","95","0","285"
"OL-256","TRN-9094","P201","3","70","0","210"
"OL-257","TRN-9094","P101","3","85","0","255"
"OL-258","TRN-9095","C302","2","50","0.1","90"
"OL-259","TRN-9095","P203","1","68","",""
"OL-260","TRN-9095","P202","2","65","0.1","117"
"OL-261","TRN-9095","C304","1","58","0.1","52.2"
"OL-262","TRN-9096","P103","3","95","0.05","270.75"
"OL-263","TRN-9097","P103","2","95","0","190"
"OL-264","TRN-9097","P102","1","80","0","80"
"OL-265","TRN-9097","C302","2","50","0","100"
"OL-266","TRN-9098","P203","1","68","0.05","64.6"
"OL-267"," TRN-9098 ","P103","2","95","0.05","180.5"
"OL-268","TRN-9098"," C303 ","3","60","0.05","171"
"OL-269","TRN-9098","C303","3","60","0.05","171"
" OL-270 ","TRN-9099","P203","3","68","","204"
"OL-271","","C303","1","60","0","60"
"OL-272","TRN-9099","P201","1","70","0","70"
"OL-273","TRN-9099","","2","55","0","110"
"OL-274","TRN-9100","C303","2","60","0.1","108"
"OL-274","TRN-9100","C303","2","60","0.1","108"
"OL-276","TRN-9101","C304","1","58","0","58"
"OL-277","TRN-9101","P103","1","95","0","95"
"OL-278","TRN-9101","P101","3","85","0","255"
"OL-279","TRN-9102","#N/A","1","50","0.1","45"
"OL-280","TRN-9102","P201","2","70","0.1","126"
"OL-281","TRN-9102","#N/A","3","","0.1","148.5"
" OL-282 ","TRN-9102","P101","1","85","","76.5"
"OL-283","TRN-9103","P101","3","85","0","255"
"OL-284","TRN-9104","P203","1","68","0","68"
"OL-285","TRN-9104","C304","3","58","0","174"
"OL-286","TRN-9105","P101","1","85","0","85"
"OL-287","TRN-9105","C303","3","60","0","180"
"OL-288","TRN-9105","C302","2","50","0","100"
"OL-289","TRN-9105","","2","80","0","160"
"OL-290","TRN-9106"," C301 ","2","55","0","110"
"OL-291","TRN-9106","P103","1","","","95"
"OL-292","TRN-9107","P103","1","95","0","95"
"OL-293","#N/A","P201","3","70","0","210"
"OL-294","TRN-9107","C303","3","60","0","180"
"OL-295","TRN-9108","P103","3","95","0","285"
"OL-296","TRN-9108","C302","2","50","0","100"
"OL-297","TRN-9108","C301","1","55","0","55"
"OL-298","TRN-9108","P103","3","95","0","285"
"OL-299","TRN-9109","C303","1","60","0.05","57"
"OL-300","TRN-9109","C301","3","55","0.05","156.75"
"OL-301","TRN-9109","C304","2","58","0.05","110.2"
"OL-302","TRN-9110","P203","1","68","0","68"
"OL-303","TRN-9110","P201","3","70","0","210"
"OL-304","TRN-9110","","1","55","0","55"
"OL-305","TRN-9110","C301","3","55","0","165"
"OL-306","TRN-9111","P101","3","","0","255"
"OL-307","TRN-9111","P202","3","65","0","195"
"OL-308","#N/A","","3","68","0","204"
"OL-309","TRN-9112","P202","2","65","0","130"
"OL-309","TRN-9112","P202","2","65","0","130"
"OL-311","","P202","3","65","0","195"
"OL-312","TRN-9113","C301","1","55","0","55"
"OL-313","TRN-9113","P203","2","68","0","136"
"OL-314","TRN-9114","C304","1","58","0.1","52.2"
"OL-315","TRN-9114","P103","3","95","0.1","256.5"
"OL-316","TRN-9115","C301","1","55","0","55"
"OL-317","TRN-9115","P103","2","95","0","190"
"OL-318","TRN-9115","C303","1","60","0","60"
"OL-319","TRN-9116","P102","","80","0.1","216"
"OL-320","TRN-9116","P202","3","65","0.1","175.5"
"OL-321"," TRN-9116 ","C302","2","50","0.1","90"
"OL-322","TRN-9117","P101","1","85","0","85"
"OL-323","TRN-9117","C302","3","50","0","150"
"OL-324","TRN-9117","P201","1","70","0",""
"OL-325","TRN-9117","P203","2","68","0","136"
"OL-326","TRN-9118","P103","2","95","0","190"
"OL-327"," TRN-9118 ","C301","3","55","0","165"
"OL-328","TRN-9118","P103","1","","0","95"
"OL-329","TRN-9119","C301","1","55","0.1","49.5"
"OL-330","TRN-9119","P101","3","85","","229.5"
"#N/A","TRN-9119","C301","1","55","0.1","49.5"
"OL-332","TRN-9120","P103","3","95","0.05","270.75"
"OL-333","TRN-9121","P203","2","68","0.1","122.4"
"OL-334","TRN-9122","C302","3","50","0.1","135"
"OL-335","","C303","1","60","0","60"
"OL-335","TRN-9123","C303","1","60","0","60"
"OL-337","TRN-9123","C302","2","50","0","100"
"OL-338","TRN-9124","P101","2","85","0","170"
"OL-339","TRN-9124","P101","3","85","0","255"
"OL-340","TRN-9124","C303","1","60","0","60"
"OL-341","TRN-9125","P101","2","85","0","170"
"OL-342","TRN-9125","C304","2","58","0","116"
"","TRN-9126","C304","","58","0","116"
"OL-344","TRN-9126","P102","2","80","0","160"
"OL-345","TRN-9126","P102","2","80","0","160"
"OL-346","TRN-9126","P203","1","68","0","68"
"OL-347","TRN-9127","C304","1","58","0","58"
"OL-348","TRN-9127","P101","2","85","0","170"
"OL-349","TRN-9128","C302","2","50","0","100"
"OL-350"," TRN-9129 ","C303","2","60","0.05","114"
"OL-351","TRN-9130","C301","1","55","0","55"
"OL-352","#N/A","C304","2","58","0","116"
"OL-353","TRN-9130","C301","3","55","0","165"
"OL-354","TRN-9130","P203","1","68","0","68"
" OL-355 ","TRN-9131","P102","1","80","0.15","68"
"OL-356","TRN-9131","P103","1","95","0.15","80.75"
"OL-357","TRN-9132","C303","3","60","0","180"
"OL-358","TRN-9132","#N/A","3","58","0","174"
"OL-359","TRN-9132","P203","2","68","0","136"
"OL-360","TRN-9133","P102","2","80","0","160"
"OL-361","TRN-9134","P201","3","70","0","210"
"OL-362","TRN-9134","P203","3","68","0","204"
"OL-363","TRN-9134","P203","2","68","0","136"
"OL-364","","P101","2","85","0","170"
"OL-365"," TRN-9135 ","C302","2","50","0","100"
"OL-366","TRN-9135","C301","2","55","0","110"
"OL-367","TRN-9136","P101","2","85","0","170"
"OL-368","TRN-9137","P103","2","95","0","190"
"OL-369","TRN-9138","C303","2","60","0","120"
"OL-370","TRN-9139","","2","50","0","100"
" OL-371 ","TRN-9139","C301","2","55","0","110"
"","TRN-9140","C303","1","60","0.1","54"
"OL-373","TRN-9140","C303","2","60","0.1","108"
"OL-374","TRN-9141","P102","2","80","0","160"
"OL-375","TRN-9142","C303","1","60","0","60"
"OL-376","TRN-9143","P203","3","68","0.1","183.6"
"OL-377","TRN-9143","P101","3","85","0.1","229.5"
"","","C301","1","55","0.1","49.5"
"OL-379","TRN-9144","P201","3","70","0","210"
"OL-380","TRN-9144","P102","1","80","0","80"
"OL-381","","C303","2","60","0","120"
""," TRN-9145 ","P203","3","68","0","204"
"OL-383","TRN-9146","P202","1","65","0.15","55.25"
"OL-384","TRN-9146","P201","1","70","0.15","59.5"
"OL-384","TRN-9146","P201","1","70","0.15","59.5"
"OL-386","TRN-9147","P202","2","65","0","130"
"OL-387","TRN-9148","P202","2","65","0.05","123.5"
"OL-388","","P201","2","70","0","140"
"OL-389","TRN-9149","P202","2","65","0","130"
"OL-390","TRN-9149","P103","1","95","0","95"
"OL-391","TRN-9149","P103","1","95","0","95"
"OL-392","TRN-9150","P101","3","85","","216.75"
"OL-393","TRN-9150","C302","2","50","","85"
"OL-394","TRN-9150","C301","2","55","0.15","93.5"
"OL-395","TRN-9150","C304","2","58","0.15","98.6"
"OL-396"," TRN-9151 ","P103","3","95","0","285"
"OL-396","TRN-9151","P103","3","95","0","285"
"OL-398","TRN-9151","P202","1","65","0","65"
"OL-399","TRN-9152","P102","1","80","0.15","68"
"OL-400"," TRN-9152 ","C301","2","55","0.15","93.5"
"OL-401","TRN-9152","P103","3","95","0.15","242.25"
"OL-402","TRN-9153","C303","2","60","0","120"
"OL-403","TRN-9153","","3","95","0","285"
"OL-404","TRN-9153","P103","1","95","0","95"
"OL-405","TRN-9154","C302","2","","0.15","85"
"OL-406","TRN-9155","C302","2","50","0","100"
"OL-407","TRN-9156","C303","1","60","0","60"
"OL-408","TRN-9156","P202","1","65","0","65"
"OL-409","","P201","1","70","0","70"
"OL-410","TRN-9157","C302","3","50","0.05","142.5"
"OL-411","TRN-9158","C304","1","58","0","58"
"OL-412","TRN-9158","P102","1","80","0","80"
"OL-413","TRN-9158","C304","2","58","0","116"
"OL-414","TRN-9159"," C301 ","2","55","0.15","93.5"
"OL-415","TRN-9159","P203","1","68","0.15","57.8"
"OL-416","TRN-9160","P102","2","80","0.1","144"
"OL-417","TRN-9160","C304","2","58","0.1","104.4"
"OL-418","TRN-9160","P201","1","70","","63"
"OL-419","TRN-9160","P202","3","65","0.1",""
"OL-420","TRN-9161","","3","65","0.05","185.25"
"OL-421","TRN-9161","C303","1","60","0.05","57"
"OL-422","TRN-9161","P102","2","80","0.05",""
"OL-423","TRN-9162","C301","2","55","0","110"
"OL-424","TRN-9162","C303","1","60","0","60"
"OL-425","TRN-9162","C302","3","50","0","150"
"OL-426","TRN-9163","C302","2","50","0","100"
"OL-427","TRN-9164"," C302 ","1","50","0","50"
"OL-428","TRN-9164","P102","2","80","0","160"
"OL-429","TRN-9164","C304","3","58","0","174"
"OL-430","TRN-9165","C303","1","60","0",""
"OL-431","TRN-9165","C303","1","60","0","60"
"OL-432","TRN-9165","P103","3","95","0","285"
"OL-433","TRN-9166","C304","3","58","0.1","156.6"
"OL-434","TRN-9166","C304","1","58","0.1","52.2"
"OL-435","TRN-9166","P102","1","80","0.1","72"
"OL-436","TRN-9166","C302","3","50","0.1","135"
"OL-437","TRN-9167","C301","2","55","0","110"
"OL-438","TRN-9167","C303","1","60","0","60"
"OL-439","TRN-9167","C301","1","55","0","55"
"OL-439","TRN-9167","C301","1","55","0","55"
"OL-441"," TRN-9168 ","C304","1","58","0","58"
"OL-442","TRN-9168","P101","3","85","0","255"
"OL-443","TRN-9169","P101","3","85","0","255"
"OL-444","TRN-9169","P202","2","65","","130"
"OL-445","TRN-9170","P203","1","68","0","68"
"OL-446","TRN-9170","C304","2","58","0","116"
"OL-447","TRN-9170","P101","1","85","0","85"
"OL-448","TRN-9171","P201","1","70","0.1","63"
"OL-449","TRN-9172","P201","2","70","0","140"
"OL-449","TRN-9172","P201","2","70","0","140"
"OL-451","TRN-9172"," C304 ","2","58","0","116"
"OL-452","TRN-9173","C304","2","58","0","116"
"OL-453","TRN-9174","","1","65","0.15","55.25"
"OL-454","TRN-9174"," P103 ","2","95","0.15","161.5"
"OL-455","TRN-9174","C301","2","","0.15","93.5"
"OL-456","TRN-9175","P102","1","80","0.1","72"
"","TRN-9175"," C301 ","2","55","","99"
"OL-458","TRN-9175","#N/A","3","50","0.1","135"
"OL-459","TRN-9175","C304","3","58","0.1","156.6"
"OL-460","TRN-9176","C302","2","50","0","100"
"OL-461","TRN-9176","P103","2","95","0","190"
"OL-462","TRN-9177","C304","2","58","0.05","110.2"
"OL-463"," TRN-9177 ","P201","3","70","0.05","199.5"
"OL-464","TRN-9178","P203","1","68","0","68"
"OL-465","TRN-9178","P201","1","70","0","70"
"OL-465","TRN-9178","P201","1","70","0","70"
"OL-467","TRN-9178","P103","3","95","0","285"
"OL-468","TRN-9179","C301","2","55","0","110"
"OL-469","TRN-9180","P101","2","85","0.1","153"
"OL-470","TRN-9180","C304","3","58","0.1",""
"OL-471"," TRN-9180 ","C303","1","60","0.1","54"
"OL-472","TRN-9180","C302","2","50","0.1","90"
"OL-473","TRN-9181","","3","55","0.05","156.75"
"OL-474","TRN-9181","P203","2","68","0.05","129.2"
"OL-475","TRN-9182","C303","1","60","0","60"
"OL-476","TRN-9183","C302","2","50","0","100"
"OL-477","TRN-9183","C302","1","50","0","50"
"OL-478","","P201","1","70","0","70"
"OL-479","TRN-9183","C301","2","55","0","110"
"OL-480","#N/A"," P103 ","3","95","0","285"
"OL-481","TRN-9185","P201","1","70","0","70"
"OL-481","TRN-9185","P201","1","70","0","70"
"OL-483","TRN-9185","C303","1","60","0","60"
"OL-484","TRN-9185","C302","1","","0","50"
"OL-485","TRN-9186","P102","2","80","0","160"
"OL-486","TRN-9186","C301","3","55","0","165"
"OL-487","TRN-9186","C302","1","50","0","50"
"OL-488","TRN-9186","P103","3","95","0","285"
"OL-489","TRN-9187","P202","3","65","","195"
"OL-490","TRN-9188","C301","3","55","0","165"
"OL-491","TRN-9189","P203","2","68","0.15","115.6"
"OL-492","TRN-9190"," C304 ","1","58","0","58"
"OL-493","","P201","3","70","0","210"
"OL-494","TRN-9191","P201","2","70","0","140"
"OL-495","TRN-9192","P203","1","68","0.1","61.2"
"OL-496","TRN-9192","P103","1","95","0.1","85.5"
"OL-497","TRN-9192","P202","3","65","0.1","175.5"
"OL-498","","P203","1","68","0","68"
"OL-499","TRN-9194","C304","3","58","0","174"
"OL-500","TRN-9195","C304","2","58","0","116"
"OL-501","TRN-9196","P101","1","85","0","85"
"OL-502","TRN-9196","C302","2","50","0","100"
" OL-503 ","TRN-9197","C301","2","55","0.05","104.5"
"OL-504","#N/A","C301","3","55","0","165"
"","TRN-9198"," P201 ","1","70","0","70"
"OL-506","TRN-9199","","3","58","0","174"
"OL-507","TRN-9200","P101","1","85","0","85"
"OL-508","TRN-9201","P201","3","70","0.15","178.5"
"OL-509","TRN-9201","P201","1","70","0.15","59.5"
"OL-510","TRN-9201","P103","2","95","0.15","161.5"
"OL-511","TRN-9202","C303","2","60","0","120"
"OL-512","TRN-9202","P102","2","80","0","160"
"OL-513","TRN-9202","","1","95","0","95"
"OL-514","TRN-9202","C304","1","58","0","58"
"OL-515","TRN-9203","C301","3","55","0","165"
"OL-516","TRN-9204","P202","3","65","0","195"
"OL-517","TRN-9204","P101","1","85","0","85"
"OL-518","TRN-9205","P203","3","68","0","204"
"OL-519","TRN-9206","P102","3","80","0.05","228"
"OL-520"," TRN-9206 ","P203","1","68","0.05","64.6"
"OL-521","TRN-9207","C301","","55","0.1","49.5"
"OL-522","TRN-9208","C301","3","55","0","165"
" OL-523 ","TRN-9208","C302","2","50","0","100"
"OL-524","","P201","1","70","0","70"
"OL-525","TRN-9208","P203","3","68","0","204"
"OL-526","TRN-9209","P201","3","70","0","210"
"OL-527","TRN-9209","P101","2","85","","170"
"OL-528","TRN-9209","P201","2","70","0","140"
"OL-529","TRN-9209","P102","","80","0","240"
"OL-530","TRN-9210","C303","2","60","0","120"
"OL-531","TRN-9210","P101","1","85","0","85"
"OL-532","TRN-9210","","3","50","0","150"
"OL-533","TRN-9211","C301","1","55","","52.25"
"OL-534","TRN-9211","C303","3","60","0.05","171"
" OL-535 ","TRN-9212","P202","3","65","0.1","175.5"
" OL-536 ","TRN-9212","P103","3","95","0.1","256.5"
