TransactionID,Date,CustomerID,StoreID,EmployeeID,PromotionID,PaymentMethod,TotalAmount
" TRN-9082 ","2025-08-17"," CUST-1063 ","STO-02","EMP-0205","PROMO-01","Mobile Payment",""
"TRN-9083","2025-07-06","CUST-1377","STO-01","EMP-0104","PROMO-00","Credit Card","518"
"TRN-9084","2024-02-07","CUST-1388","STO-03","EMP-0304","PROMO-00","Cash","211"
"TRN-9085","2024-11-22","CUST-1390","STO-04"," EMP-0403 ","","Debit Card","345.8"
"TRN-9086","2023-11-09","CUST-1150","STO-01","EMP-0101","PROMO-02","Cash",""
" TRN-9087 ","2022-01-25","CUST-1010","STO-03","EMP-0303","PROMO-00","Credit Card","290"
"TRN-9088","2022-06-06","CUST-1246","STO-03",""," PROMO-03 ","Credit Card","185.25"
"TRN-9089","2022-06-26","CUST-1225","STO-02"," EMP-0202 ","PROMO-00","Cash","356"
"TRN-9090","2022-11-08","CUST-1192"," STO-04 ","EMP-0402","PROMO-00","","70"
"TRN-9091","2025-02-14","CUST-1090","STO-04","EMP-0403","PROMO-02","Mobile Payment","257.4"
"TRN-9092","2023-09-20","#N/A","STO-02","EMP-0202","PROMO-02","Cash","314.1"
"#N/A","2026-03-03","CUST-1119","STO-02","EMP-0202","PROMO-00","Credit Card","408"
"TRN-9094","2026-01-01","CUST-1114","STO-04","EMP-0405","PROMO-00","Mobile Payment","750"
"TRN-9095","2025-05-30","CUST-1176","STO-01","EMP-0104","PROMO-02","Debit Card","320.4"
"TRN-9096","2024-08-30","CUST-1221","#N/A","EMP-0204","PROMO-03","Cash","270.75"
"TRN-9097","2022-07-09","CUST-1320","STO-01","EMP-0103","PROMO-00","Credit Card","370"
"TRN-9098","2025-05-11","","STO-04","EMP-0402","PROMO-03","Cash","587.1"
"TRN-9099","2023-09-04","CUST-1199","STO-02","#N/A","PROMO-00","Cash","444"
"TRN-9100","2023-02-21","CUST-1286","STO-04","EMP-0402","PROMO-02","Cash","337.5"
"TRN-9101","2023-02-23","CUST-1063","STO-01","EMP-0105","PROMO-00","Debit Card","408"
"#N/A","2024-09-04","CUST-1117","STO-03","EMP-0304","PROMO-02","Credit Card",""
" TRN-9103 ","2024-06-06","CUST-1116","STO-03","EMP-0303","PROMO-00"," Cash ","255"
"TRN-9104","2024-09-28","CUST-1189","STO-02","EMP-0205","PROMO-00"," Credit Card ","242"
"TRN-9105","2026-01-15","CUST-1331","STO-03","EMP-0305","PROMO-00","Cash","525"
"TRN-9106","2022-01-26"," CUST-1339 ","STO-03","EMP-0304","PROMO-00","Debit Card","205"
"TRN-9107","2025-08-09","#N/A","STO-02","EMP-0205","PROMO-00","Debit Card","485"
"TRN-9108","2023-04-25","CUST-1023","STO-01"," EMP-0103 ","PROMO-00","Credit Card","725"
"TRN-9109","2023-11-15","CUST-1155","STO-03","EMP-0305","PROMO-03","Credit Card","323.95"
"TRN-9110","","","STO-02","EMP-0205","PROMO-00","Cash","498"
"TRN-9111","2022-02-18","CUST-1039","STO-04","EMP-0401","PROMO-00","Debit Card","450"
"TRN-9112","2026-02-13","CUST-1266","STO-01","","PROMO-00","Credit Card","334"
"TRN-9113","2024-03-19","CUST-1062","STO-01","EMP-0105","PROMO-00","Credit Card","671"
"TRN-9114","2022-08-01","CUST-1028","STO-02","EMP-0204","PROMO-02","Credit Card","308.7"
"TRN-9115","2022-07-06","CUST-1339","STO-03","EMP-0305","PROMO-00","Debit Card","305"
"TRN-9116","2025-03-11","CUST-1074","STO-03","EMP-0305","PROMO-02","Cash","481.5"
"TRN-9117","2022-10-27","CUST-1025","STO-01","EMP-0103","PROMO-00","Mobile Payment","441"
"TRN-9118","2023-09-25"," CUST-1254 ","STO-01","EMP-0103","PROMO-00","Mobile Payment","450"
"TRN-9119","2024-02-06","CUST-1243","STO-04","EMP-0404","PROMO-02","Credit Card","328.5"
"TRN-9120","2026-04-01","CUST-1076","STO-03","EMP-0302","PROMO-03","Mobile Payment",""
"TRN-9121","2023-02-19","CUST-1386"," STO-01 ","EMP-0105","PROMO-02","Debit Card","122.4"
"TRN-9122","2022-06-24","CUST-1235","STO-02"," EMP-0202 ","PROMO-02","Mobile Payment","135"
"TRN-9123","2024-07-10"," CUST-1318 ","STO-03","EMP-0303","PROMO-00","Debit Card","276"
"TRN-9124","2023-08-07","CUST-1062","STO-03","EMP-0303","PROMO-00","Credit Card","485"
"TRN-9125","2024-08-12","CUST-1130","","EMP-0401","PROMO-00","Cash","286"
"","2024-12-24","","STO-04","EMP-0403","PROMO-00","Mobile Payment","504"
"TRN-9127","","CUST-1362","STO-02","EMP-0204","PROMO-00","Credit Card","228"
"TRN-9128","2024-06-04","CUST-1166","STO-04","EMP-0402","PROMO-00","Debit Card","100"
" TRN-9129 "," 2025-10-03 ","CUST-1218","STO-01","EMP-0101","PROMO-03","Cash","114"
"","2024-04-18","CUST-1305","STO-03","EMP-0304","PROMO-00","Credit Card","404"
" TRN-9131 "," 2022-09-09 ","CUST-1063","STO-03","EMP-0303","PROMO-01","Debit Card","148.75"
"TRN-9132","2023-07-30","CUST-1279"," STO-02 ","EMP-0204","PROMO-00","Debit Card","490"
"TRN-9133","2023-02-07","CUST-1196","STO-03","EMP-0302","PROMO-00","Mobile Payment","160"
"TRN-9134","2025-08-07","CUST-1037","","EMP-0204","PROMO-00","Debit Card","720"
"TRN-9135","2023-01-06","CUST-1365","STO-02","EMP-0202","PROMO-00","Debit Card","210"
"TRN-9136","2023-05-09","CUST-1210","STO-02","EMP-0202","PROMO-00","Cash","170"
"TRN-9137","2022-12-01","CUST-1162","STO-01","EMP-0101"," PROMO-00 ","Cash","190"
"TRN-9138","2024-12-09","CUST-1150","STO-02","EMP-0203","PROMO-00","Debit Card","120"
" TRN-9139 ","2024-02-24","CUST-1345","STO-04"," EMP-0403 ","PROMO-00","Mobile Payment","210"
"TRN-9140","2024-09-05","CUST-1246","STO-04","EMP-0403","PROMO-02"," Debit Card ","162"
"TRN-9141","2023-05-23","CUST-1128","STO-03","EMP-0304","PROMO-00","Debit Card","160"
"TRN-9142","2024-03-12","CUST-1135","STO-02","EMP-0201","PROMO-00","Mobile Payment",""
"TRN-9143","2024-12-24","CUST-1074","STO-01","EMP-0101","PROMO-02","Mobile Payment","462.6"
"TRN-9144","2022-12-07","CUST-1157","STO-04","EMP-0402","PROMO-00","Mobile Payment","290"
"TRN-9145","2023-02-08","CUST-1398","STO-04"," EMP-0404 ","PROMO-00","Mobile Payment","324"
"TRN-9146","2022-10-27","CUST-1031","STO-01","EMP-0101","PROMO-01","Cash","187"
"TRN-9147","#N/A","CUST-1294"," STO-03 ","","PROMO-00","Debit Card","130"
"TRN-9148","2025-09-13"," CUST-1045 ","STO-04","EMP-0401","PROMO-03","Credit Card","123.5"
"TRN-9149","2022-08-16","CUST-1093","","EMP-0405","","Debit Card","460"
"TRN-9150","2022-05-29","CUST-1147","STO-03","EMP-0304","PROMO-01","Debit Card","493.85"
"TRN-9151","2026-03-28","CUST-1097","STO-03","EMP-0305","PROMO-00","Credit Card","545"
"TRN-9152","2026-01-29","CUST-1187","STO-01","EMP-0101","PROMO-01","Cash","403.75"
"TRN-9153","2023-09-19","CUST-1228","STO-03","EMP-0303","PROMO-00","Credit Card","500"
"TRN-9154","2023-01-08","CUST-1359","STO-03","EMP-0304","PROMO-01","Credit Card","85"
"TRN-9155","2026-01-15","CUST-1335","STO-01","EMP-0103","PROMO-00","Cash","100"
"TRN-9156","2023-08-07","CUST-1145","STO-01","EMP-0102","PROMO-00","Mobile Payment","195"
"TRN-9157","2024-06-13","CUST-1146","STO-04","EMP-0403","PROMO-03","Mobile Payment","142.5"
"TRN-9158","2025-03-08","CUST-1252","STO-04","EMP-0402","PROMO-00","Credit Card","254"
"TRN-9159","2024-06-19","CUST-1018","STO-04","EMP-0402","PROMO-01","Mobile Payment","151.3"
"TRN-9160","2024-09-06","CUST-1394","STO-01","EMP-0103","PROMO-02","Credit Card","486.9"
"TRN-9161","2022-03-21","CUST-1112"," STO-01 ","EMP-0103","PROMO-03","Cash","394.25"
"TRN-9161","2022-03-21","CUST-1112","STO-01","EMP-0103","PROMO-03","Cash","394.25"
"","2025-06-20","CUST-1220","STO-02","EMP-0205","PROMO-00","Mobile Payment","100"
"","2022-03-05","CUST-1064","STO-04","EMP-0404","PROMO-00","Mobile Payment","384"
"TRN-9165","2026-01-13","CUST-1039","STO-01","EMP-0101"," PROMO-00 "," Mobile Payment ","405"
"TRN-9166","2022-06-28","CUST-1061","STO-01","EMP-0104","PROMO-02","Cash","415.8"
"TRN-9167","2025-01-28","CUST-1166","STO-01","EMP-0103","PROMO-00","Cash","225"
"TRN-9168","2024-03-23","CUST-1226","STO-03","EMP-0305","PROMO-00","Debit Card","368"
"TRN-9169","2025-07-10","CUST-1222","STO-04","EMP-0404","PROMO-00","Debit Card","385"
"TRN-9170","2024-05-01","CUST-1382","STO-02","EMP-0202","PROMO-00","Credit Card","269"
"TRN-9171","2024-07-15","CUST-1127","STO-03","EMP-0301","PROMO-02","Debit Card","63"
"TRN-9172","2025-10-28","CUST-1139","STO-04","EMP-0401","PROMO-00","Mobile Payment","406"
"TRN-9173","2024-04-28","CUST-1015","STO-01","EMP-0104","PROMO-00"," Mobile Payment ","116"
"TRN-9174","2023-07-22","CUST-1139","STO-01","EMP-0103","PROMO-01","Mobile Payment",""
"TRN-9175","2022-06-13","CUST-1353","STO-01","EMP-0105","PROMO-02","Cash","462.6"
"TRN-9176","2025-05-02","CUST-1357","STO-02","EMP-0205","PROMO-00","Debit Card","290"
"TRN-9177","2025-01-14","CUST-1119","STO-03","EMP-0304","PROMO-03","Debit Card","309.7"
"TRN-9177","2025-01-14","CUST-1119","STO-03","EMP-0304","PROMO-03","Debit Card","309.7"
"TRN-9179","2023-04-07","CUST-1138","STO-01","EMP-0103","PROMO-00","Mobile Payment","110"
"TRN-9180","2022-08-21","CUST-1202","STO-02","EMP-0201","PROMO-02","Debit Card","453.6"
"TRN-9180","2022-08-21","CUST-1202","STO-02","EMP-0201","PROMO-02","Debit Card","453.6"
"TRN-9182","2023-01-19","CUST-1074","STO-04","EMP-0402","PROMO-00","Credit Card","60"
"TRN-9183","2023-03-04","CUST-1300","STO-04","EMP-0404","PROMO-00","Credit Card","330"
"TRN-9184","2025-04-10","CUST-1041","STO-02","EMP-0205","PROMO-00"," Mobile Payment ","285"
"TRN-9185","#N/A","CUST-1197","STO-03","EMP-0304","PROMO-00","Cash","230"
"TRN-9186","2022-06-27","CUST-1189","","EMP-0304","PROMO-00","Debit Card","660"
"TRN-9187","2025-05-04","CUST-1140","STO-02","EMP-0205","PROMO-00","Mobile Payment","195"
"TRN-9188","2025-02-27","CUST-1326","STO-02","EMP-0205","","Mobile Payment","165"
"TRN-9189","2025-02-14","CUST-1297","STO-01","EMP-0103","PROMO-01","Mobile Payment","115.6"
"TRN-9190","2024-04-13","CUST-1075","STO-03","EMP-0305","PROMO-00","Debit Card","268"
"TRN-9191","2025-11-04","CUST-1069","STO-03","EMP-0303","PROMO-00","Cash","140"
"TRN-9192","2024-09-28","CUST-1300","STO-03","EMP-0305","PROMO-02"," Cash ","322.2"
"TRN-9193","2026-01-03","CUST-1262","","EMP-0104","PROMO-00","Cash","68"
"TRN-9194","2026-03-28","CUST-1261","STO-04","#N/A","PROMO-00","Cash","174"
"TRN-9195","2024-02-02","CUST-1346","STO-01","EMP-0102"," PROMO-00 ","Debit Card","116"
"TRN-9196","2023-06-23","CUST-1376","STO-04","EMP-0404","","Cash","185"
"TRN-9197","2023-04-26","CUST-1016","STO-02","EMP-0204","PROMO-03","Debit Card","104.5"
"TRN-9198","2024-11-16","CUST-1225","STO-02","EMP-0201","PROMO-00","Cash","235"
"TRN-9199","2024-01-26","CUST-1094"," STO-03 ","EMP-0305","PROMO-00","Cash","174"
"TRN-9200","2025-12-18","CUST-1092","STO-03","EMP-0303","PROMO-00","","85"
"TRN-9201","2024-11-21","CUST-1074","STO-04","EMP-0404","PROMO-01","Credit Card","399.5"
"TRN-9202","2024-09-22","CUST-1221"," STO-01 ","EMP-0102","PROMO-00","Mobile Payment","433"
"TRN-9203","2023-10-19","CUST-1338","STO-03","EMP-0301","PROMO-00","Cash","165"
"TRN-9204","2022-03-01","CUST-1348","STO-04","EMP-0402","PROMO-00","Credit Card","280"
"TRN-9205","2025-03-02","CUST-1080","STO-04","EMP-0401","PROMO-00","Mobile Payment","204"
"TRN-9206","2025-10-05","CUST-1090","STO-02","EMP-0204","PROMO-03","Debit Card","292.6"
"TRN-9207","2025-09-10","CUST-1141","STO-03","EMP-0303","PROMO-02","Mobile Payment","49.5"
"TRN-9208","2022-05-25","CUST-1071","STO-02","EMP-0205","PROMO-00","Mobile Payment","539"
"TRN-9209","2023-10-17","CUST-1278","STO-01","EMP-0102","PROMO-00","Cash","760"
"TRN-9210","2023-04-29","CUST-1027","STO-01","EMP-0105","PROMO-00","Credit Card","355"
"TRN-9211","2025-11-06","CUST-1188","STO-04","EMP-0404","PROMO-03","Debit Card","223.25"
"TRN-9212","2025-12-20","CUST-1377","STO-02","EMP-0204","PROMO-02","Debit Card","709.2"
"TRN-9213","2024-10-25"," CUST-1028 ","STO-02","EMP-0203","PROMO-01"," Credit Card ","314.5"
"TRN-9214","2024-11-21","CUST-1322","STO-02","EMP-0202","PROMO-00","Debit Card",""
" TRN-9215 ","2024-08-03","CUST-1078","STO-03","EMP-0301","#N/A","Debit Card","100"
"TRN-9216","2025-12-09","CUST-1278","STO-04","EMP-0401","PROMO-00","Debit Card","280"
"TRN-9217","#N/A","CUST-1368","STO-02","EMP-0204"," PROMO-00 ","Cash","370"
"TRN-9218","2025-02-02","CUST-1261","STO-01","EMP-0103","","Credit Card","175.5"
"TRN-9219","2025-11-18","CUST-1316","STO-01","EMP-0105","PROMO-02","Cash","72"
"TRN-9220","2025-07-17","CUST-1031","STO-04"," EMP-0402 ","PROMO-02","Mobile Payment","336.6"
"TRN-9221","","","STO-01","EMP-0104","PROMO-00","Mobile Payment","286"
"TRN-9222","2024-11-12","CUST-1395","STO-03","EMP-0305","PROMO-03","Debit Card","226.1"
"TRN-9223","2024-05-14","CUST-1387","STO-04","EMP-0402","PROMO-00","Mobile Payment",""
"TRN-9224","2023-04-29","CUST-1311","STO-02","EMP-0202","PROMO-00","Debit Card","195"
"TRN-9225","2022-08-09","CUST-1260","STO-03","EMP-0304","PROMO-00","Cash","585"
"TRN-9226","2022-01-04","CUST-1246","STO-02","EMP-0202","PROMO-02","Debit Card","535.5"
"TRN-9227","2022-02-10","CUST-1362","STO-03","EMP-0303","PROMO-00","Cash","196"
"TRN-9228","2022-02-01","CUST-1258","STO-03"," EMP-0302 ","","Debit Card","175.5"
"TRN-9229","2024-03-06","CUST-1188","STO-03","EMP-0302","PROMO-03","Cash",""
"TRN-9230","2023-01-02","CUST-1125","STO-02","EMP-0204","PROMO-00","Cash","210"
" TRN-9231 ","2025-11-25"," CUST-1276 ","STO-04","EMP-0401","PROMO-02","Debit Card",""
"TRN-9232","2024-04-22","CUST-1269","#N/A","EMP-0105","PROMO-00","Cash","674"
"TRN-9233","2022-07-06"," CUST-1042 ","STO-01","EMP-0102","PROMO-00","Mobile Payment","698"
"TRN-9234","2026-04-02","CUST-1269","STO-03","EMP-0305","PROMO-00","Cash","130"
"TRN-9235","2023-05-15","CUST-1135","STO-04","EMP-0401","PROMO-00","Credit Card","403"
"TRN-9236","2024-10-29","CUST-1259","","EMP-0202","PROMO-00","Debit Card","155"
" TRN-9237 ","2025-08-20","CUST-1262","STO-01","EMP-0101","PROMO-03","Debit Card","523.45"
"TRN-9238"," 2023-09-29 ","CUST-1211","STO-03","EMP-0305","PROMO-00","Credit Card","95"
"TRN-9239","2023-02-07","CUST-1336","STO-04","EMP-0405","PROMO-00"," Cash ","225"
"TRN-9240","2023-01-25","CUST-1271","STO-03","EMP-0304","PROMO-03","Debit Card","588.05"
"TRN-9241","2023-11-21","CUST-1049"," STO-02 ","EMP-0202","PROMO-00","Debit Card","174"
"TRN-9242","2023-02-19","CUST-1351","STO-02","EMP-0204","PROMO-00","","598"
"TRN-9243","2023-01-02","CUST-1091"," STO-03 ","EMP-0301","PROMO-00","Debit Card","425"
"TRN-9244","2025-02-04","CUST-1085"," STO-03 ","EMP-0305","PROMO-00","Credit Card","645"
"TRN-9245","#N/A","CUST-1374","STO-04","EMP-0401","PROMO-00","Cash","289"
" TRN-9246 ","","CUST-1283","STO-02","EMP-0205","PROMO-00","Cash","195"
"TRN-9247","2025-12-28"," CUST-1064 ","STO-02","EMP-0203","PROMO-01"," Mobile Payment ","365.5"
"TRN-9248","2023-11-23","CUST-1341","STO-01","EMP-0102","PROMO-01","Credit Card","285.6"
"","2023-03-31","","STO-04","EMP-0405","PROMO-00","Debit Card","610"
" TRN-9250 ","#N/A","CUST-1077","STO-03","EMP-0301","PROMO-03","Cash","483.55"
"TRN-9251","2025-11-03","CUST-1082","STO-02","EMP-0202","PROMO-00","Debit Card","215"
"TRN-9251","2025-11-03","CUST-1082","STO-02","EMP-0202","PROMO-00","Debit Card","215"
"TRN-9253","2025-08-11","CUST-1394","STO-03","EMP-0304","PROMO-00","Credit Card","266"
"TRN-9254","2022-01-15","CUST-1207","STO-01","EMP-0105","PROMO-00","Cash","163"
"TRN-9255","2023-06-16","CUST-1335","STO-01","EMP-0101","PROMO-00","Credit Card","180"
"TRN-9256","2024-07-28","CUST-1090","STO-04","EMP-0404","PROMO-00","Cash","453"
" TRN-9257 ","2022-07-26","CUST-1165","STO-04","EMP-0402","PROMO-00","Credit Card","410"
"TRN-9258","2022-05-11","CUST-1238","STO-01","EMP-0105","PROMO-00","Debit Card","195"
"TRN-9259","2024-12-31","CUST-1031","STO-03","EMP-0305","PROMO-01","Debit Card","476"
"TRN-9260","2024-09-19","CUST-1332"," STO-04 ","EMP-0405","PROMO-00","Credit Card","360"
"TRN-9261","2022-06-30","CUST-1107","STO-04","EMP-0402","PROMO-03","Debit Card","180.5"
"TRN-9262","2024-11-17","CUST-1301","STO-03"," EMP-0304 ","PROMO-00","Credit Card","363"
"TRN-9263","2025-01-15","CUST-1260","STO-03","EMP-0302","PROMO-00","Credit Card","120"
"TRN-9264","2022-02-16","CUST-1071","STO-01","EMP-0104","PROMO-00","Mobile Payment","443"
"TRN-9265","2022-08-12","","STO-02","EMP-0202"," PROMO-00 ","Cash","224"
"TRN-9266","2022-07-31","CUST-1369","STO-02","EMP-0202","PROMO-00","Credit Card","375"
"TRN-9267","2025-01-31","CUST-1070","STO-03","EMP-0304","PROMO-00","Debit Card","326"
"","2025-01-05"," CUST-1263 ","","EMP-0403","PROMO-00","Debit Card",""
"","2022-02-20","CUST-1210","STO-04","EMP-0404","PROMO-02","Debit Card","367.2"
"TRN-9270","","CUST-1095","STO-04","EMP-0401","","Mobile Payment","423"
"TRN-9271","2024-09-04","CUST-1292","STO-02","EMP-0201","PROMO-00","Cash","555"
"TRN-9272","2025-01-09","CUST-1274","STO-01","EMP-0104","PROMO-00","Mobile Payment","415"
"TRN-9273"," 2025-02-04 ",""," STO-01 ","","PROMO-00","Mobile Payment","535"
"TRN-9274","2022-12-02","CUST-1212","STO-02","EMP-0201","PROMO-00","Mobile Payment","235"
"TRN-9275","2022-11-27","CUST-1065","STO-04","EMP-0405","PROMO-00","Debit Card","321"
"TRN-9276","2024-11-18","CUST-1363"," STO-03 "," EMP-0305 ","PROMO-00","Credit Card","335"
"TRN-9277","2026-03-28","CUST-1052"," STO-03 ","EMP-0304","PROMO-00","Debit Card","420"
